time	V(v_comp)	V(v_f)	V(v_ref)
1.175550000000000e-04	9.384882e-01	1.649997e+00	2.760892e+00
1.185550000000000e-04	9.384882e-01	1.649997e+00	2.768536e+00
1.195550000000000e-04	9.384882e-01	1.649997e+00	2.776135e+00
1.200600000000000e-04	9.384882e-01	1.649997e+00	2.779956e+00
1.201600000000000e-04	9.384882e-01	1.649997e+00	2.780711e+00
1.203600000000000e-04	9.384882e-01	1.649997e+00	2.782221e+00
1.207600000000000e-04	9.384882e-01	1.649997e+00	2.785233e+00
1.215600000000000e-04	9.384882e-01	1.649997e+00	2.791238e+00
1.225600000000000e-04	9.384882e-01	1.649997e+00	2.798703e+00
1.235600000000000e-04	9.384882e-01	1.649997e+00	2.806122e+00
1.245600000000000e-04	9.384882e-01	1.649997e+00	2.813496e+00
1.255600000000000e-04	9.384882e-01	1.649997e+00	2.820824e+00
1.265600000000000e-04	9.384882e-01	1.649997e+00	2.828106e+00
1.275600000000000e-04	9.384882e-01	1.649997e+00	2.835341e+00
1.285600000000000e-04	9.384882e-01	1.649997e+00	2.842530e+00
1.295600000000000e-04	9.384882e-01	1.649997e+00	2.849671e+00
1.300650000000000e-04	9.384883e-01	1.649997e+00	2.853259e+00
1.301650000000000e-04	9.384883e-01	1.649997e+00	2.853969e+00
1.303650000000000e-04	9.384883e-01	1.649997e+00	2.855386e+00
1.307650000000000e-04	9.384883e-01	1.649997e+00	2.858213e+00
1.315650000000000e-04	9.384883e-01	1.649997e+00	2.863847e+00
1.325650000000000e-04	9.384883e-01	1.649997e+00	2.870845e+00
1.335650000000000e-04	9.384883e-01	1.649997e+00	2.877795e+00
1.345650000000000e-04	9.384883e-01	1.649997e+00	2.884696e+00
1.355650000000000e-04	9.384883e-01	1.649997e+00	2.891549e+00
1.365650000000000e-04	9.384883e-01	1.649997e+00	2.898353e+00
1.375650000000000e-04	9.384883e-01	1.649997e+00	2.905107e+00
1.385650000000000e-04	9.384883e-01	1.649997e+00	2.911812e+00
1.395650000000000e-04	9.384883e-01	1.649997e+00	2.918468e+00
1.400700000000000e-04	9.384884e-01	1.649997e+00	2.921809e+00
1.401700000000000e-04	9.384884e-01	1.649997e+00	2.922470e+00
1.403700000000000e-04	9.384884e-01	1.649997e+00	2.923789e+00
1.407700000000000e-04	9.384884e-01	1.649997e+00	2.926420e+00
1.415700000000000e-04	9.384884e-01	1.649997e+00	2.931660e+00
1.425700000000000e-04	9.384884e-01	1.649997e+00	2.938164e+00
1.435700000000000e-04	9.384884e-01	1.649997e+00	2.944617e+00
1.445700000000000e-04	9.384884e-01	1.649997e+00	2.951019e+00
1.455700000000000e-04	9.384884e-01	1.649997e+00	2.957369e+00
1.465700000000000e-04	9.384884e-01	1.649997e+00	2.963668e+00
1.475700000000000e-04	9.384884e-01	1.649997e+00	2.969915e+00
1.485700000000000e-04	9.384884e-01	1.649997e+00	2.976110e+00
1.495700000000000e-04	9.384884e-01	1.649997e+00	2.982253e+00
1.500750000000000e-04	9.384884e-01	1.649997e+00	2.985335e+00
1.501750000000000e-04	9.384884e-01	1.649997e+00	2.985944e+00
1.503750000000000e-04	9.384884e-01	1.649997e+00	2.987159e+00
1.507750000000000e-04	9.384884e-01	1.649997e+00	2.989585e+00
1.515750000000000e-04	9.384884e-01	1.649997e+00	2.994410e+00
1.525750000000000e-04	9.384884e-01	1.649997e+00	3.000394e+00
1.535750000000000e-04	9.384884e-01	1.649997e+00	3.006325e+00
1.545750000000000e-04	9.384884e-01	1.649997e+00	3.012202e+00
1.555750000000000e-04	9.384884e-01	1.649997e+00	3.018025e+00
1.565750000000000e-04	9.384884e-01	1.649997e+00	3.023794e+00
1.575750000000000e-04	9.384884e-01	1.649997e+00	3.029509e+00
1.585750000000000e-04	9.384884e-01	1.649997e+00	3.035169e+00
1.595750000000000e-04	9.384884e-01	1.649997e+00	3.040775e+00
1.600800000000000e-04	9.384884e-01	1.649997e+00	3.043585e+00
1.601800000000000e-04	9.384884e-01	1.649997e+00	3.044140e+00
1.603800000000000e-04	9.384884e-01	1.649997e+00	3.045248e+00
1.607800000000000e-04	9.384884e-01	1.649997e+00	3.047457e+00
1.615800000000000e-04	9.384884e-01	1.649997e+00	3.051849e+00
1.625800000000000e-04	9.384884e-01	1.649997e+00	3.057289e+00
1.635800000000000e-04	9.384884e-01	1.649997e+00	3.062674e+00
1.645800000000000e-04	9.384884e-01	1.649997e+00	3.068003e+00
1.655800000000000e-04	9.384884e-01	1.649997e+00	3.073276e+00
1.665800000000000e-04	9.384884e-01	1.649997e+00	3.078492e+00
1.675800000000000e-04	9.384884e-01	1.649997e+00	3.083653e+00
1.685800000000000e-04	9.384884e-01	1.649997e+00	3.088756e+00
1.695800000000000e-04	9.384885e-01	1.649997e+00	3.093803e+00
1.700850000000000e-04	9.384885e-01	1.649997e+00	3.096330e+00
1.701850000000000e-04	9.384885e-01	1.649997e+00	3.096829e+00
1.703850000000000e-04	9.384885e-01	1.649997e+00	3.097825e+00
1.707850000000000e-04	9.384885e-01	1.649997e+00	3.099809e+00
1.715850000000000e-04	9.384885e-01	1.649997e+00	3.103750e+00
1.725850000000000e-04	9.384885e-01	1.649997e+00	3.108625e+00
1.735850000000000e-04	9.384885e-01	1.649997e+00	3.113443e+00
1.745850000000000e-04	9.384885e-01	1.649997e+00	3.118202e+00
1.755850000000000e-04	9.384885e-01	1.649997e+00	3.122904e+00
1.765850000000000e-04	9.384885e-01	1.649997e+00	3.127548e+00
1.775850000000000e-04	9.384885e-01	1.649997e+00	3.132133e+00
1.785850000000000e-04	9.384885e-01	1.649997e+00	3.136660e+00
1.795850000000000e-04	9.384885e-01	1.649997e+00	3.141128e+00
1.800900000000000e-04	9.384885e-01	1.649997e+00	3.143362e+00
1.801900000000000e-04	9.384885e-01	1.649997e+00	3.143802e+00
1.803900000000000e-04	9.384885e-01	1.649997e+00	3.144682e+00
1.807900000000000e-04	9.384885e-01	1.649997e+00	3.146433e+00
1.815900000000000e-04	9.384885e-01	1.649997e+00	3.149909e+00
1.825900000000000e-04	9.384885e-01	1.649997e+00	3.154199e+00
1.835900000000000e-04	9.384885e-01	1.649997e+00	3.158430e+00
1.845900000000000e-04	9.384885e-01	1.649997e+00	3.162602e+00
1.855900000000000e-04	9.384885e-01	1.649997e+00	3.166714e+00
1.865900000000000e-04	9.384885e-01	1.649997e+00	3.170766e+00
1.875900000000000e-04	9.384885e-01	1.649997e+00	3.174758e+00
1.885900000000000e-04	9.384885e-01	1.649997e+00	3.178690e+00
1.895900000000000e-04	9.384885e-01	1.649997e+00	3.182561e+00
1.900950000000000e-04	9.384885e-01	1.649997e+00	3.184494e+00
1.901950000000000e-04	9.384885e-01	1.649997e+00	3.184874e+00
1.903950000000000e-04	9.384885e-01	1.649997e+00	3.185634e+00
1.907950000000000e-04	9.384885e-01	1.649997e+00	3.187146e+00
1.915950000000000e-04	9.384885e-01	1.649997e+00	3.190141e+00
1.925950000000000e-04	9.384885e-01	1.649997e+00	3.193830e+00
1.935950000000000e-04	9.384885e-01	1.649997e+00	3.197459e+00
1.945950000000000e-04	9.384885e-01	1.649997e+00	3.201026e+00
